CustomerID,num_orders
14750,1
17850,155
14468,1
13777,61
17027,9
14895,38
15329,11
13694,143
12839,26
15061,127
14607,22
18012,1
15862,13
13319,58
17861,18
17679,7
17032,8
16782,38
16684,55
14949,4
15623,8
12589,8
17245,2
13527,12
17581,43
15550,12
16212,4
18061,28
17774,9
14593,12
14989,1
14952,32
16200,12
13340,12
12482,29
17969,20
12525,3
16019,27
13214,7
15622,17
15696,13
16387,5
15251,21
13902,5
17961,100
16176,4
12921,74
16611,6
17426,13
15639,3
15260,25
15032,8
17389,61
14917,2
15218,22
13609,1
16242,14
18111,1
13969,35
16332,11
14683,1
14872,3
14025,8
12972,4
15680,10
13013,29
14496,7
13450,13
14426,17
15854,21
16705,42
16229,6
14651,9
16206,13
17216,1
17009,1
15551,7
13052,7
14110,33
16253,7
16390,3
16503,11
16814,36
12963,12
17802,10
14640,10
14107,11
14486,2
12625,4
16699,7
16208,10
17442,15
12547,3
14734,4
15262,3
16282,3
14437,5
16153,11
17829,5
12598,11
16331,6
13070,4
14135,24
16648,3
13920,4
17218,18
16770,9
16515,10
13602,4
13785,4
15778,1
14322,4
14978,10
13022,1
16384,4
17525,3
15044,35
16013,84
13546,5
16574,3
16416,9
14277,9
18154,5
13148,26
12877,20
15332,6
16128,11
13849,5
15992,3
17321,6
16284,3
15021,12
15024,16
16444,17
16386,3
15727,15
18047,2
16409,12
15271,24
14414,8
16552,2
12967,3
13269,28
12808,5
16725,14
17671,5
17975,24
15213,2
17685,12
12935,15
13328,1
13707,5
17035,4
15046,25
13871,17
14587,9
16306,7
13090,24
17663,17
14676,12
14657,6
14057,22
12831,3
13588,9
16398,2
14031,44
15018,3
16309,2
13048,9
18065,29
12394,2
13592,4
13629,19
18287,7
13437,7
16880,8
17828,4
14401,22
17422,11
14397,19
14503,6
14765,3
17848,30
14002,2
14159,20
14502,11
12358,5
12490,21
16305,1
14342,6
13458,16
14774,1
14624,6
12914,1
16109,3
17101,7
16365,15
14495,3
13376,3
17229,2
18196,4
16175,7
12787,4
16141,2
17034,5
16669,3
15706,4
12783,6
13389,3
13514,4
16653,2
12451,8
12719,2
12856,6
15949,2
17800,9
13652,5
16127,2
15214,8
17769,17
13139,8
13985,22
13695,16
13623,10
17461,3
17054,5
17052,1
14286,7
16712,13
17624,4
16005,10
15511,5
15414,3
15904,1
14250,3
13521,3
18180,6
15907,3
12576,8
13000,4
16858,10
14045,16
13433,4
14225,4
14241,2
16595,5
15434,11
13897,3
15091,3
17406,13
13434,5
15439,4
13469,1
12523,23
13201,4
13612,1
16108,4
17553,4
13443,6
12844,4
14625,11
16631,7
13943,1
13740,5
15025,2
17463,7
14104,5
14058,2
12485,1
16926,5
17236,12
14701,15
12399,7
13734,4
14599,2
13474,3
16784,5
15064,4
16675,2
15855,6
14855,7
12761,2
17753,4
16325,12
13506,5
12777,1
16080,4
16646,1
16044,1
12655,1
13577,11
15957,3
14400,3
13561,11
15958,4
13453,3
16012,5
14482,12
16933,9
18101,5
15583,1
18034,3
17855,1
18259,7
16726,7
16551,7
12652,2
14450,7
15549,8
14411,1
17571,5
15062,8
15257,2
13373,6
16871,6
16333,22
17109,8
13983,21
17556,2
18150,3
17877,1
18143,2
13232,7
16484,2
16861,5
13549,8
15973,3
14603,1
18099,1
12968,1
12685,6
17779,3
13860,5
14704,11
17475,1
14757,1
12412,6
17513,3
15930,1
17666,5
16076,10
13690,1
12766,9
12463,4
17832,1
14731,3
15592,1
15516,3
16847,2
13868,2
17595,2
17979,4
12569,32
17198,3
14793,2
15115,2
17359,2
16495,3
15471,3
16887,3
14564,2
15055,3
16139,5
15270,21
17927,1
17945,3
18134,2
15022,5
12711,2
16781,2
15765,1
17136,1
12898,2
15941,1
13382,5
18187,1
15447,5
13285,6
13287,3
17436,5
16636,4
13585,3
15246,3
14249,12
15229,1
14398,2
15137,2
17623,7
15142,6
16286,2
13815,8
17926,5
16434,12
16264,2
15164,9
14169,2
16579,1
13832,2
13233,4
13387,1
13088,1
14728,1
14197,1
13921,4
15458,2
17269,1
16599,1
14419,7
12915,4
18269,1
14639,9
17128,1
13502,5
16897,2
17255,4
13932,1
14036,1
14223,3
17107,10
12990,7
17265,2
16774,8
15258,2
12405,1
16187,15
18248,2
13355,1
13273,1
16820,1
12640,3
12667,1
17361,5
12448,1
15974,7
14664,2
18216,1
15531,2
14903,5
16157,3
15113,3
15097,3
12716,2
15156,3
15790,1
13800,3
17296,1
13315,1
12905,2
15766,3
16450,3
14279,2
18051,7
17184,2
17962,4
13029,5
14922,2
18244,2
12977,4
14575,1
16562,1
14026,2
14433,1
17762,1
12751,1
13205,1
13281,1
17864,5
16381,2
13840,1
16412,5
17572,10
12923,3
16402,2
12763,2
12707,1
14570,3
13977,1
13723,6
13513,3
16083,4
16780,3
13186,3
15837,2
16066,5
15066,1
17824,1
16516,1
16903,3
15556,1
13238,6
16900,3
13844,1
12479,1
15318,1
16311,2
13498,1
17910,1
13289,1
13101,4
16285,1
17586,1
16543,1
15759,7
15256,2
16317,5
14727,3
15154,3
12851,2
17649,3
12651,4
12760,1
12543,1
16476,1
15277,2
12725,4
12899,1
16491,2
17070,2
14784,3
14497,2
12401,1
16927,3
15703,1
15045,2
17972,1
14697,2
16364,2
14392,1
15801,3
18200,1
12830,6
14806,2
16404,1
17934,3
14974,1
17301,2
17579,4
12440,2
13191,1
14172,3
13482,2
12742,1
13412,1
17041,6
13346,6
16844,2
14840,2
13129,2
12799,1
16649,1
14858,1
16269,1
16783,1
14455,4
16825,5
17326,2
15138,1
15968,1
15350,2
13370,1
16598,1
12545,2
12818,1
18040,2
14288,1
17152,4
15219,2
13218,1
17562,7
14523,1
13411,1
12436,1
13806,1
16463,4
15667,1
17668,2
13867,3
16557,2
16479,2
17233,3
12396,1
14884,1
14131,1
17568,1
14563,2
18141,2
18208,1
17745,2
15731,1
16815,2
16294,1
16396,1
16870,1
15741,2
17055,1
12964,1
14510,3
15857,2
17420,6
17551,1
14165,1
16152,1
15225,1
14542,1
15578,1
16236,1
16181,1
17148,1
18045,1
14357,1
16102,3
17022,2
13142,1
17566,2
17178,1
17563,2
15548,1
13824,12
18163,1
15664,4
14786,1
15852,3
18021,2
17177,1
17665,1
16234,3
17149,1
14269,1
17710,1
15242,1
15131,1
15846,1
13181,1
15404,1
17303,1
16339,1
16113,1
16739,2
13242,7
13130,1
13801,1
12940,2
14830,1
16123,1
13176,1
13822,2
17011,3
18014,1
17727,1
12660,1
15487,1
13164,2
14281,1
12789,3
13947,1
18107,1
15554,1
14143,1
13697,1
14074,1
15231,1
16050,3
15087,1
12881,1
15063,1
18029,1
14378,1
13556,2
15178,1
13061,1
17876,3
17098,3
14007,1
14991,1
17752,1
17523,4
13349,1
